# GNUBANDS: Utility for SIESTA to transform bands output into Gnuplot format
#
#                                                  Emilio Artacho, Feb. 1999
# --------------------------------------------------------------------------
# E_F               =    -5.5900
# k_min, k_max      =     0.0000    3.2425
# E_min, E_max      =   -63.6636   94.9229
# Nbands, Nspin, Nk =     72     1   856
#
#        k            E
# --------------------------------------------------------------------------
      0.000000    -63.663600
      0.003788    -63.663600
      0.007576    -63.663600
      0.011363    -63.663600
      0.015151    -63.663600
      0.018939    -63.663600
      0.022727    -63.663600
      0.026514    -63.663600
      0.030302    -63.663600
      0.034090    -63.663600
      0.037878    -63.663600
      0.041666    -63.663600
      0.045453    -63.663600
      0.049241    -63.663600
      0.053029    -63.663600
      0.056817    -63.663600
      0.060605    -63.663600
      0.064392    -63.663600
      0.068180    -63.663600
      0.071968    -63.663600
      0.075756    -63.663600
      0.079543    -63.663600
      0.083331    -63.663600
      0.087119    -63.663600
      0.090907    -63.663600
      0.094695    -63.663600
      0.098482    -63.663600
      0.102270    -63.663600
      0.106058    -63.663500
      0.109846    -63.663500
      0.113634    -63.663500
      0.117421    -63.663500
      0.121209    -63.663500
      0.124997    -63.663500
      0.128785    -63.663500
      0.132572    -63.663500
      0.136360    -63.663500
      0.140148    -63.663500
      0.143936    -63.663500
      0.147724    -63.663500
      0.151511    -63.663500
      0.155299    -63.663500
      0.159087    -63.663500
      0.162875    -63.663500
      0.166663    -63.663500
      0.170450    -63.663500
      0.174238    -63.663500
      0.178026    -63.663500
      0.181814    -63.663500
      0.185601    -63.663500
      0.189389    -63.663500
      0.193177    -63.663500
      0.196965    -63.663500
      0.200753    -63.663500
      0.204540    -63.663500
      0.208328    -63.663500
      0.212116    -63.663500
      0.215904    -63.663500
      0.219691    -63.663400
      0.223479    -63.663400
      0.227267    -63.663400
      0.231055    -63.663400
      0.234843    -63.663400
      0.238630    -63.663400
      0.242418    -63.663400
      0.246206    -63.663400
      0.249994    -63.663400
      0.253782    -63.663400
      0.257569    -63.663400
      0.261357    -63.663400
