# GNUBANDS: Utility for SIESTA to transform bands output into Gnuplot format
#
#                                                  Emilio Artacho, Feb. 1999
# --------------------------------------------------------------------------
# E_F               =    -6.2493
# k_min, k_max      =     0.0000    3.7545
# E_min, E_max      =   -63.0238  231.8068
# Nbands, Nspin, Nk =     72     1   856
#
#        k            E
# --------------------------------------------------------------------------
      0.000000    -63.023800
      0.004386    -63.023800
      0.008772    -63.023800
      0.013158    -63.023800
      0.017543    -63.023800
      0.021929    -63.023800
      0.026315    -63.023800
      0.030701    -63.023800
      0.035087    -63.023700
      0.039473    -63.023700
      0.043859    -63.023700
      0.048244    -63.023700
      0.052630    -63.023700
      0.057016    -63.023700
      0.061402    -63.023600
      0.065788    -63.023600
      0.070174    -63.023600
      0.074560    -63.023600
      0.078945    -63.023600
      0.083331    -63.023500
      0.087717    -63.023500
      0.092103    -63.023500
      0.096489    -63.023500
      0.100875    -63.023400
      0.105261    -63.023400
      0.109646    -63.023400
      0.114032    -63.023300
      0.118418    -63.023300
      0.122804    -63.023300
      0.127190    -63.023200
      0.131576    -63.023200
      0.135962    -63.023200
      0.140347    -63.023100
      0.144733    -63.023100
      0.149119    -63.023000
      0.153505    -63.023000
      0.157891    -63.023000
      0.162277    -63.022900
      0.166663    -63.022900
      0.171048    -63.022800
      0.175434    -63.022800
      0.179820    -63.022800
      0.184206    -63.022700
      0.188592    -63.022700
      0.192978    -63.022600
      0.197364    -63.022600
      0.201749    -63.022600
      0.206135    -63.022500
      0.210521    -63.022500
      0.214907    -63.022400
      0.219293    -63.022400
      0.223679    -63.022400
      0.228064    -63.022300
      0.232450    -63.022300
      0.236836    -63.022200
      0.241222    -63.022200
      0.245608    -63.022200
      0.249994    -63.022100
      0.254380    -63.022100
      0.258765    -63.022100
      0.263151    -63.022000
      0.267537    -63.022000
      0.271923    -63.021900
      0.276309    -63.021900
      0.280695    -63.021900
      0.285081    -63.021800
      0.289466    -63.021800
      0.293852    -63.021800
      0.298238    -63.021700
      0.302624    -63.021700
      0.307010    -63.021700
      0.311396    -63.021700
      0.315782    -63.021600
      0.320167    -63.021600
      0.324553    -63.021600
      0.328939    -63.021500
      0.333325    -63.021500
      0.337711    -63.021500
      0.342097    -63.021500
      0.346483    -63.021400
      0.350868    -63.021400
      0.355254    -63.021400
      0.359640    -63.021400
      0.364026    -63.021400
      0.368412    -63.021300
      0.372798    -63.021300
      0.377184    -63.021300
      0.381569    -63.021300
      0.385955    -63.021300
      0.390341    -63.021300
      0.394727    -63.021300
      0.399113    -63.021200
      0.403499    -63.021200
      0.407885    -63.021200
      0.412270    -63.021200
      0.416656    -63.021200
      0.421042    -63.021200
      0.425428    -63.021200
      0.429814    -63.021200
      0.434200    -63.021200
      0.438586    -63.021200
      0.442971    -63.021200
      0.447357    -63.021200
      0.451743    -63.021200
      0.456129    -63.021200
      0.460515    -63.021200
      0.464901    -63.021200
      0.469287    -63.021200
      0.473672    -63.021200
      0.478058    -63.021100
      0.482444    -63.021100
      0.486830    -63.021100
      0.491216    -63.021100
      0.495602    -63.021100
      0.499988    -63.021100
      0.504373    -63.021000
      0.508759    -63.021000
      0.513145    -63.021000
      0.517531    -63.021000
      0.521917    -63.020900
      0.526303    -63.020900
      0.530689    -63.020900
      0.535074    -63.020800
      0.539460    -63.020800
      0.543846    -63.020800
      0.548232    -63.020700
      0.552618    -63.020700
      0.557004    -63.020700
      0.561390    -63.020600
      0.565775    -63.020600
      0.570161    -63.020600
      0.574547    -63.020500
      0.578933    -63.020500
      0.583319    -63.020400
      0.587705    -63.020400
      0.592091    -63.020400
      0.596476    -63.020300
      0.600862    -63.020300
      0.605248    -63.020200
      0.609634    -63.020200
      0.614020    -63.020100
      0.618406    -63.020100
      0.622791    -63.020000
      0.627177    -63.020000
      0.631563    -63.019900
      0.635949    -63.019900
      0.640335    -63.019800
      0.644721    -63.019800
      0.649107    -63.019700
      0.653492    -63.019700
      0.657878    -63.019700
      0.662264    -63.019600
      0.666650    -63.019600
      0.671036    -63.019500
      0.675422    -63.019500
      0.679808    -63.019400
      0.684193    -63.019400
      0.688579    -63.019300
      0.692965    -63.019300
      0.697351    -63.019200
      0.701737    -63.019200
      0.706123    -63.019200
      0.710509    -63.019100
      0.714894    -63.019100
      0.719280    -63.019000
      0.723666    -63.019000
      0.728052    -63.018900
      0.732438    -63.018900
      0.736824    -63.018900
      0.741210    -63.018800
      0.745595    -63.018800
      0.749981    -63.018800
      0.754367    -63.018700
      0.758753    -63.018700
      0.763139    -63.018700
      0.767525    -63.018600
