# GNUBANDS: Utility for SIESTA to transform bands output into Gnuplot format
#
#                                                  Emilio Artacho, Feb. 1999
# --------------------------------------------------------------------------
# E_F               =    -5.5260
# k_min, k_max      =     0.0000    3.3597
# E_min, E_max      =   -62.6619  208.9266
# Nbands, Nspin, Nk =     72     1   856
#
#        k            E
# --------------------------------------------------------------------------
      0.000000    -62.661900
      0.003925    -62.661900
      0.007849    -62.661900
      0.011774    -62.661900
      0.015699    -62.661900
      0.019624    -62.661900
      0.023548    -62.661900
      0.027473    -62.661900
      0.031398    -62.661900
      0.035322    -62.661900
      0.039247    -62.661900
      0.043172    -62.661900
      0.047096    -62.661900
      0.051021    -62.661900
      0.054946    -62.661900
      0.058871    -62.661900
      0.062795    -62.661900
      0.066720    -62.661900
      0.070645    -62.661800
      0.074569    -62.661800
      0.078494    -62.661800
      0.082419    -62.661800
      0.086343    -62.661800
      0.090268    -62.661800
      0.094193    -62.661800
      0.098118    -62.661800
      0.102042    -62.661800
      0.105967    -62.661700
      0.109892    -62.661700
      0.113816    -62.661700
      0.117741    -62.661700
      0.121666    -62.661700
      0.125591    -62.661700
      0.129515    -62.661600
      0.133440    -62.661600
      0.137365    -62.661600
      0.141289    -62.661600
      0.145214    -62.661600
      0.149139    -62.661500
      0.153063    -62.661500
      0.156988    -62.661500
      0.160913    -62.661500
      0.164838    -62.661500
      0.168762    -62.661400
      0.172687    -62.661400
      0.176612    -62.661400
      0.180536    -62.661400
      0.184461    -62.661300
      0.188386    -62.661300
      0.192310    -62.661300
      0.196235    -62.661300
      0.200160    -62.661200
      0.204085    -62.661200
      0.208009    -62.661200
      0.211934    -62.661200
      0.215859    -62.661100
      0.219783    -62.661100
      0.223708    -62.661100
      0.227633    -62.661100
      0.231558    -62.661000
      0.235482    -62.661000
      0.239407    -62.661000
      0.243332    -62.660900
      0.247256    -62.660900
      0.251181    -62.660900
      0.255106    -62.660900
      0.259030    -62.660800
      0.262955    -62.660800
      0.266880    -62.660800
      0.270805    -62.660800
      0.274729    -62.660700
      0.278654    -62.660700
      0.282579    -62.660700
      0.286503    -62.660700
      0.290428    -62.660600
      0.294353    -62.660600
      0.298277    -62.660600
      0.302202    -62.660600
      0.306127    -62.660500
      0.310052    -62.660500
      0.313976    -62.660500
      0.317901    -62.660500
      0.321826    -62.660500
      0.325750    -62.660400
      0.329675    -62.660400
      0.333600    -62.660400
      0.337524    -62.660400
      0.341449    -62.660400
      0.345374    -62.660300
      0.349299    -62.660300
      0.353223    -62.660300
      0.357148    -62.660300
      0.361073    -62.660300
      0.364997    -62.660300
      0.368922    -62.660300
      0.372847    -62.660200
