# GNUBANDS: Utility for SIESTA to transform bands output into Gnuplot format
#
#                                                  Emilio Artacho, Feb. 1999
# --------------------------------------------------------------------------
# E_F               =    -5.8808
# k_min, k_max      =     0.0000    3.8389
# E_min, E_max      =   -62.5511  256.4974
# Nbands, Nspin, Nk =     72     1   856
#
#        k            E
# --------------------------------------------------------------------------
      0.000000    -62.551100
      0.004484    -62.551100
      0.008969    -62.551100
      0.013453    -62.551000
      0.017938    -62.551000
      0.022422    -62.551000
      0.026907    -62.551000
      0.031391    -62.551000
      0.035876    -62.551000
      0.040360    -62.551000
      0.044845    -62.551000
      0.049329    -62.550900
      0.053814    -62.550900
      0.058298    -62.550900
      0.062782    -62.550900
      0.067267    -62.550800
      0.071751    -62.550800
      0.076236    -62.550800
      0.080720    -62.550800
      0.085205    -62.550700
      0.089689    -62.550700
      0.094174    -62.550700
      0.098658    -62.550600
      0.103143    -62.550600
      0.107627    -62.550500
      0.112112    -62.550500
      0.116596    -62.550500
      0.121080    -62.550400
      0.125565    -62.550400
      0.130049    -62.550300
      0.134534    -62.550300
      0.139018    -62.550200
      0.143503    -62.550200
      0.147987    -62.550100
      0.152472    -62.550100
      0.156956    -62.550000
      0.161441    -62.550000
      0.165925    -62.549900
      0.170410    -62.549900
      0.174894    -62.549800
      0.179378    -62.549800
      0.183863    -62.549700
      0.188347    -62.549700
      0.192832    -62.549600
      0.197316    -62.549600
      0.201801    -62.549500
      0.206285    -62.549500
      0.210770    -62.549400
      0.215254    -62.549400
      0.219739    -62.549300
      0.224223    -62.549300
      0.228708    -62.549200
      0.233192    -62.549200
      0.237676    -62.549100
      0.242161    -62.549100
      0.246645    -62.549000
      0.251130    -62.549000
      0.255614    -62.548900
      0.260099    -62.548900
      0.264583    -62.548800
      0.269068    -62.548800
      0.273552    -62.548700
      0.278037    -62.548700
      0.282521    -62.548600
      0.287006    -62.548600
      0.291490    -62.548500
      0.295974    -62.548500
      0.300459    -62.548400
      0.304943    -62.548400
      0.309428    -62.548300
      0.313912    -62.548300
      0.318397    -62.548200
      0.322881    -62.548200
      0.327366    -62.548100
      0.331850    -62.548100
      0.336335    -62.548100
      0.340819    -62.548000
      0.345303    -62.548000
      0.349788    -62.547900
      0.354272    -62.547900
      0.358757    -62.547900
      0.363241    -62.547800
      0.367726    -62.547800
      0.372210    -62.547800
      0.376695    -62.547700
      0.381179    -62.547700
      0.385664    -62.547700
      0.390148    -62.547700
      0.394633    -62.547600
      0.399117    -62.547600
      0.403601    -62.547600
      0.408086    -62.547600
      0.412570    -62.547600
      0.417055    -62.547600
      0.421539    -62.547500
      0.426024    -62.547500
      0.430508    -62.547500
      0.434993    -62.547500
      0.439477    -62.547500
      0.443962    -62.547500
      0.448446    -62.547500
      0.452931    -62.547500
      0.457415    -62.547500
      0.461899    -62.547500
      0.466384    -62.547500
      0.470868    -62.547500
      0.475353    -62.547500
      0.479837    -62.547500
      0.484322    -62.547400
      0.488806    -62.547400
      0.493291    -62.547400
      0.497775    -62.547400
      0.502260    -62.547400
      0.506744    -62.547300
      0.511229    -62.547300
      0.515713    -62.547300
      0.520197    -62.547300
      0.524682    -62.547200
      0.529166    -62.547200
      0.533651    -62.547200
      0.538135    -62.547100
      0.542620    -62.547100
      0.547104    -62.547000
      0.551589    -62.547000
      0.556073    -62.547000
      0.560558    -62.546900
      0.565042    -62.546900
      0.569527    -62.546800
      0.574011    -62.546800
      0.578495    -62.546700
      0.582980    -62.546700
      0.587464    -62.546600
      0.591949    -62.546600
      0.596433    -62.546500
      0.600918    -62.546500
      0.605402    -62.546400
      0.609887    -62.546300
      0.614371    -62.546300
      0.618856    -62.546200
      0.623340    -62.546200
      0.627825    -62.546100
      0.632309    -62.546000
      0.636793    -62.546000
      0.641278    -62.545900
      0.645762    -62.545800
      0.650247    -62.545800
      0.654731    -62.545700
      0.659216    -62.545700
      0.663700    -62.545600
      0.668185    -62.545500
      0.672669    -62.545500
      0.677154    -62.545400
      0.681638    -62.545300
      0.686123    -62.545300
      0.690607    -62.545200
      0.695091    -62.545100
      0.699576    -62.545100
      0.704060    -62.545000
      0.708545    -62.544900
      0.713029    -62.544900
      0.717514    -62.544800
      0.721998    -62.544700
      0.726483    -62.544700
      0.730967    -62.544600
      0.735452    -62.544600
      0.739936    -62.544500
      0.744421    -62.544400
      0.748905    -62.544400
      0.753389    -62.544300
      0.757874    -62.544300
      0.762358    -62.544200
      0.766843    -62.544100
      0.771327    -62.544100
      0.775812    -62.544000
      0.780296    -62.544000
      0.784781    -62.543900
      0.789265    -62.543900
      0.793750    -62.543900
      0.798234    -62.543800
      0.802719    -62.543800
      0.807203    -62.543700
      0.811687    -62.543700
      0.816172    -62.543600
      0.820656    -62.543600
      0.825141    -62.543600
      0.829625    -62.543500
      0.834110    -62.543500
      0.838594    -62.543500
      0.843079    -62.543500
      0.847563    -62.543400
      0.852048    -62.543400
      0.856532    -62.543400
      0.861017    -62.543400
      0.865501    -62.543400
      0.869985    -62.543300
      0.874470    -62.543300
      0.878954    -62.543300
      0.883439    -62.543300
      0.887923    -62.543300
      0.892408    -62.543300
      0.896892    -62.543300
      0.901377    -62.543300
      0.905861    -62.543300
      0.910346    -62.543300
      0.914830    -62.543300
      0.919314    -62.543300
      0.923799    -62.543300
      0.928283    -62.543300
      0.932768    -62.543200
      0.937252    -62.543200
      0.941737    -62.543200
      0.946221    -62.543200
      0.950706    -62.543200
      0.955190    -62.543200
      0.959675    -62.543100
      0.964159    -62.543100
      0.968644    -62.543100
      0.973128    -62.543000
      0.977612    -62.543000
      0.982097    -62.543000
      0.986581    -62.542900
      0.991066    -62.542900
      0.995550    -62.542900
      1.000035    -62.542800
      1.004519    -62.542800
      1.009004    -62.542700
      1.013488    -62.542700
      1.017973    -62.542700
      1.022457    -62.542600
      1.026942    -62.542600
      1.031426    -62.542500
      1.035910    -62.542500
      1.040395    -62.542400
      1.044879    -62.542400
      1.049364    -62.542300
      1.053848    -62.542300
      1.058333    -62.542200
      1.062817    -62.542100
      1.067302    -62.542100
      1.071786    -62.542000
      1.076271    -62.542000
      1.080755    -62.541900
      1.085240    -62.541900
      1.089724    -62.541800
      1.094208    -62.541700
      1.098693    -62.541700
      1.103177    -62.541600
      1.107662    -62.541600
      1.112146    -62.541500
      1.116631    -62.541400
      1.121115    -62.541400
      1.125600    -62.541300
      1.130084    -62.541200
      1.134569    -62.541200
      1.139053    -62.541100
      1.143538    -62.541100
      1.148022    -62.541000
      1.152506    -62.540900
      1.156991    -62.540900
      1.161475    -62.540800
      1.165960    -62.540800
      1.170444    -62.540700
      1.174929    -62.540700
      1.179413    -62.540600
      1.183898    -62.540600
      1.188382    -62.540500
      1.192867    -62.540400
      1.197351    -62.540400
      1.201836    -62.540300
      1.206320    -62.540300
      1.210804    -62.540200
      1.215289    -62.540200
      1.219773    -62.540200
      1.224258    -62.540100
      1.228742    -62.540100
      1.233227    -62.540000
      1.237711    -62.540000
      1.242196    -62.539900
      1.246680    -62.539900
      1.251165    -62.539900
      1.255649    -62.539800
      1.260134    -62.539800
      1.264618    -62.539800
      1.269102    -62.539700
      1.273587    -62.539700
      1.278071    -62.539700
      1.282556    -62.539700
      1.287040    -62.539600
      1.291525    -62.539600
      1.296009    -62.539600
      1.300494    -62.539600
      1.304978    -62.539600
      1.309463    -62.539600
      1.313947    -62.539500
      1.318432    -62.539500
      1.322916    -62.539500
      1.327400    -62.539500
      1.331885    -62.539500
      1.336369    -62.539500
      1.340854    -62.539500
      1.345338    -62.539500
      1.349828    -62.539500
      1.354318    -62.539500
      1.358808    -62.539500
      1.363297    -62.539500
      1.367787    -62.539500
      1.372277    -62.539500
      1.376767    -62.539500
      1.381256    -62.539600
      1.385746    -62.539600
      1.390236    -62.539600
      1.394726    -62.539600
      1.399216    -62.539600
      1.403705    -62.539600
      1.408195    -62.539700
      1.412685    -62.539700
      1.417175    -62.539700
      1.421664    -62.539800
      1.426154    -62.539800
      1.430644    -62.539800
      1.435134    -62.539800
      1.439624    -62.539900
      1.444113    -62.539900
      1.448603    -62.540000
      1.453093    -62.540000
      1.457583    -62.540000
      1.462072    -62.540100
      1.466562    -62.540100
      1.471052    -62.540200
      1.475542    -62.540200
      1.480032    -62.540300
      1.484521    -62.540300
      1.489011    -62.540400
      1.493501    -62.540500
      1.497991    -62.540500
      1.502480    -62.540600
      1.506970    -62.540600
      1.511460    -62.540700
      1.515950    -62.540800
      1.520440    -62.540800
      1.524929    -62.540900
      1.529419    -62.541000
      1.533909    -62.541100
      1.538399    -62.541100
      1.542888    -62.541200
      1.547378    -62.541300
      1.551868    -62.541400
      1.556358    -62.541500
      1.560848    -62.541500
      1.565337    -62.541600
      1.569827    -62.541700
      1.574317    -62.541800
      1.578807    -62.541900
      1.583296    -62.542000
      1.587786    -62.542100
      1.592276    -62.542200
      1.596766    -62.542300
      1.601256    -62.542400
      1.605745    -62.542500
      1.610235    -62.542600
      1.614725    -62.542700
      1.619215    -62.542800
      1.623704    -62.542900
      1.628194    -62.543000
      1.632684    -62.543100
      1.637174    -62.543200
      1.641664    -62.543300
      1.646153    -62.543400
      1.650643    -62.543500
      1.655133    -62.543600
      1.659623    -62.543700
      1.664112    -62.543800
      1.668602    -62.543900
      1.673092    -62.544000
      1.677582    -62.544100
      1.682072    -62.544300
      1.686561    -62.544400
      1.691051    -62.544500
      1.695541    -62.544600
      1.700031    -62.544700
      1.704520    -62.544800
      1.709010    -62.544900
      1.713500    -62.545000
      1.717990    -62.545100
      1.722480    -62.545200
      1.726969    -62.545400
      1.731459    -62.545500
      1.735949    -62.545600
      1.740439    -62.545700
      1.744928    -62.545800
      1.749418    -62.545900
      1.753908    -62.546000
